Name,Score,Event 1 Result,Event 1 Rank,Event 1 Score,Event 1 Std Dev,Event 1 Mean,Event 1 Standout,Event 1 Est Result,Event 1 Est Std Dev,Event 1 Est Mean,Event 1 Est Standout,Event 2 Result,Event 2 Rank,Event 2 Score,Event 2 Std Dev,Event 2 Mean,Event 2 Standout,Event 2 Est Result,Event 2 Est Std Dev,Event 2 Est Mean,Event 2 Est Standout,Event 3 Result,Event 3 Rank,Event 3 Score,Event 3 Std Dev,Event 3 Mean,Event 3 Standout,Event 3 Est Result,Event 3 Est Std Dev,Event 3 Est Mean,Event 3 Est Standout,Event 4 Result,Event 4 Rank,Event 4 Score,Event 4 Std Dev,Event 4 Mean,Event 4 Standout,Event 4 Est Result,Event 4 Est Std Dev,Event 4 Est Mean,Event 4 Est Standout,Event 5 Result,Event 5 Rank,Event 5 Score,Event 5 Std Dev,Event 5 Mean,Event 5 Standout,Event 5 Est Result,Event 5 Est Std Dev,Event 5 Est Mean,Event 5 Est Standout,Event 6 Result,Event 6 Rank,Event 6 Score,Event 6 Std Dev,Event 6 Mean,Event 6 Standout,Event 6 Est Result,Event 6 Est Std Dev,Event 6 Est Mean,Event 6 Est Standout,Event 7 Result,Event 7 Rank,Event 7 Score,Event 7 Std Dev,Event 7 Mean,Event 7 Standout,Event 7 Est Result,Event 7 Est Std Dev,Event 7 Est Mean,Event 7 Est Standout
Martina Barbaro,977,3:22.4,171,171,31.21,3:22.71,0.01,3:22.4,31.21,3:22.71,0.01,13:06.7,169,169,1:50.4,12:33.01,-0.31,13:06.7,2:04.57,12:58.75,-0.06,C+35,19,19,36.49,25:05.84,,27:45,2:28.76,31:44.03,1.61,C+2,127,127,25.83,2:18.15,,3:02,37.92,2:55.74,-0.17,140,242,242,16.06,155.2,-0.95,140.0,16.06,155.2,-0.95,C+1,48,48,46.45,14:52.56,,16:01,1:11.71,16:43.43,0.59,4:27.1,201,201,1:06.6,3:21.34,-0.99,4:27.1,1:28.13,3:52.03,-0.4
Gretchen Kittelberger,988,3:22.6,172,172,31.21,3:22.71,0.0,3:22.6,31.21,3:22.71,0.0,13:39.5,189,189,1:50.4,12:33.01,-0.6,13:39.5,2:04.57,12:58.75,-0.33,C+135,258,258,36.49,25:05.84,,33:55,2:28.76,31:44.03,-0.88,2:28.5,72,72,25.83,2:18.15,-0.4,2:28.5,37.92,2:55.74,0.72,172,41,41,16.06,155.2,1.05,172.0,16.06,155.2,1.05,C+23,116,116,46.45,14:52.56,,16:23,1:11.71,16:43.43,0.28,3:32.6,140,140,1:06.6,3:21.34,-0.17,3:32.6,1:28.13,3:52.03,0.22
Jenn Webber,989,2:59.1,71,71,31.21,3:22.71,0.76,2:59.1,31.21,3:22.71,0.76,10:52.2,52,52,1:50.4,12:33.01,0.91,10:52.2,2:04.57,12:58.75,1.02,C+101,115,115,36.49,25:05.84,,31:05,2:28.76,31:44.03,0.26,C+2,127,127,25.83,2:18.15,,3:02,37.92,2:55.74,-0.17,147,191,191,16.06,155.2,-0.51,147.0,16.06,155.2,-0.51,C+102,248,248,46.45,14:52.56,,17:42,1:11.71,16:43.43,-0.82,4:07.1,185,185,1:06.6,3:21.34,-0.69,4:07.1,1:28.13,3:52.03,-0.17
Corinna Benz,1001,3:54.0,269,269,31.21,3:22.71,-1.0,3:54,31.21,3:22.71,-1.0,14:08.3,210,210,1:50.4,12:33.01,-0.86,14:08.3,2:04.57,12:58.75,-0.56,C+113,157,157,36.49,25:05.84,,32:05,2:28.76,31:44.03,-0.14,2:52.5,98,98,25.83,2:18.15,-1.33,2:52.5,37.92,2:55.74,0.09,166,69,69,16.06,155.2,0.67,166.0,16.06,155.2,0.67,C+19,105,105,46.45,14:52.56,,16:19,1:11.71,16:43.43,0.34,2:52.7,93,93,1:06.6,3:21.34,0.43,2:52.7,1:28.13,3:52.03,0.67
Audra LeBeau,1002,3:03.1,93,93,31.21,3:22.71,0.63,3:03.1,31.21,3:22.71,0.63,14:09.1,214,214,1:50.4,12:33.01,-0.87,14:09.1,2:04.57,12:58.75,-0.56,C+128,223,223,36.49,25:05.84,,33:20,2:28.76,31:44.03,-0.65,2:21.8,60,60,25.83,2:18.15,-0.14,2:21.8,37.92,2:55.74,0.9,161,105,105,16.06,155.2,0.36,161.0,16.06,155.2,0.36,C+46,162,162,46.45,14:52.56,,16:46,1:11.71,16:43.43,-0.04,3:36.6,145,145,1:06.6,3:21.34,-0.23,3:36.6,1:28.13,3:52.03,0.18
Elyse Kile,1013,2:58.1,65,65,31.21,3:22.71,0.79,2:58.1,31.21,3:22.71,0.79,11:55.2,105,105,1:50.4,12:33.01,0.34,11:55.2,2:04.57,12:58.75,0.51,C+80,69,69,36.49,25:05.84,,30:00,2:28.76,31:44.03,0.7,C+20,271,271,25.83,2:18.15,,3:20,37.92,2:55.74,-0.64,155,141,141,16.06,155.2,-0.01,155.0,16.06,155.2,-0.01,C+54,196,196,46.45,14:52.56,,16:54,1:11.71,16:43.43,-0.15,3:51.7,166,166,1:06.6,3:21.34,-0.46,3:51.7,1:28.13,3:52.03,0.0
Antonelli Nicole,1019,3:08.3,112,112,31.21,3:22.71,0.46,3:08.3,31.21,3:22.71,0.46,12:49.6,158,158,1:50.4,12:33.01,-0.15,12:49.6,2:04.57,12:58.75,0.07,C+111,145,145,36.49,25:05.84,,31:55,2:28.76,31:44.03,-0.07,C+4,146,146,25.83,2:18.15,,3:04,37.92,2:55.74,-0.22,146,207,207,16.06,155.2,-0.57,146.0,16.06,155.2,-0.57,C+25,122,122,46.45,14:52.56,,16:25,1:11.71,16:43.43,0.26,3:24.3,129,129,1:06.6,3:21.34,-0.04,3:24.3,1:28.13,3:52.03,0.31
Kim Cocce,1021,3:10.7,121,121,31.21,3:22.71,0.38,3:10.7,31.21,3:22.71,0.38,12:40.0,150,150,1:50.4,12:33.01,-0.06,12:40,2:04.57,12:58.75,0.15,C+54,36,36,36.49,25:05.84,,28:42,2:28.76,31:44.03,1.22,C+8,193,193,25.83,2:18.15,,3:08,37.92,2:55.74,-0.32,155,141,141,16.06,155.2,-0.01,155.0,16.06,155.2,-0.01,C+57,208,208,46.45,14:52.56,,16:57,1:11.71,16:43.43,-0.19,3:55.1,172,172,1:06.6,3:21.34,-0.51,3:55.1,1:28.13,3:52.03,-0.03
Mikaela Norman,1026,3:30.0,202,202,31.21,3:22.71,-0.23,3:30,31.21,3:22.71,-0.23,8:29.3,4,4,1:50.4,12:33.01,2.21,8:29.3,2:04.57,12:58.75,2.16,25:29.9,7,7,36.49,25:05.84,-0.66,25:29.9,2:28.76,31:44.03,2.51,C+2,127,127,25.83,2:18.15,,3:02,37.92,2:55.74,-0.17,147,191,191,16.06,155.2,-0.51,147.0,16.06,155.2,-0.51,C+59,213,213,46.45,14:52.56,,16:59,1:11.71,16:43.43,-0.22,C+8,282,282,1:06.6,3:21.34,,6:08,1:28.13,3:52.03,-1.54
Jessica Cote-Beaudoin,1028,4:06.6,288,288,31.21,3:22.71,-1.41,4:06.6,31.21,3:22.71,-1.41,12:52.5,159,159,1:50.4,12:33.01,-0.18,12:52.5,2:04.57,12:58.75,0.05,C+148,287,287,36.49,25:05.84,,35:00,2:28.76,31:44.03,-1.32,2:24.8,64,64,25.83,2:18.15,-0.26,2:24.8,37.92,2:55.74,0.82,175,31,31,16.06,155.2,1.23,175.0,16.06,155.2,1.23,C+53,187,187,46.45,14:52.56,,16:53,1:11.71,16:43.43,-0.13,1:38.1,12,12,1:06.6,3:21.34,1.55,1:38.1,1:28.13,3:52.03,1.52
Laura Hughes,1032,3:25.2,181,181,31.21,3:22.71,-0.08,3:25.2,31.21,3:22.71,-0.08,12:43.0,151,151,1:50.4,12:33.01,-0.09,12:43,2:04.57,12:58.75,0.13,C+104,124,124,36.49,25:05.84,,31:20,2:28.76,31:44.03,0.16,C+11,230,230,25.83,2:18.15,,3:11,37.92,2:55.74,-0.4,175,31,31,16.06,155.2,1.23,175.0,16.06,155.2,1.23,C+74,230,230,46.45,14:52.56,,17:14,1:11.71,16:43.43,-0.43,2:45.0,85,85,1:06.6,3:21.34,0.55,2:45,1:28.13,3:52.03,0.76
Laura Brannen,1041,3:15.8,140,140,31.21,3:22.71,0.22,3:15.8,31.21,3:22.71,0.22,11:28.7,80,80,1:50.4,12:33.01,0.58,11:28.7,2:04.57,12:58.75,0.72,C+120,188,188,36.49,25:05.84,,32:40,2:28.76,31:44.03,-0.38,C+2,127,127,25.83,2:18.15,,3:02,37.92,2:55.74,-0.17,146,207,207,16.06,155.2,-0.57,146.0,16.06,155.2,-0.57,C+56,204,204,46.45,14:52.56,,16:56,1:11.71,16:43.43,-0.18,2:53.9,95,95,1:06.6,3:21.34,0.41,2:53.9,1:28.13,3:52.03,0.66
Ashley Beaver,1046,3:29.0,196,196,31.21,3:22.71,-0.2,3:29,31.21,3:22.71,-0.2,14:55.0,247,247,1:50.4,12:33.01,-1.29,14:55,2:04.57,12:58.75,-0.93,C+135,258,258,36.49,25:05.84,,33:55,2:28.76,31:44.03,-0.88,2:41.8,85,85,25.83,2:18.15,-0.92,2:41.8,37.92,2:55.74,0.37,165,74,74,16.06,155.2,0.61,165.0,16.06,155.2,0.61,C+19,105,105,46.45,14:52.56,,16:19,1:11.71,16:43.43,0.34,2:41.5,81,81,1:06.6,3:21.34,0.6,2:41.5,1:28.13,3:52.03,0.8
Ashlee Hegner,1048,3:26.9,189,189,31.21,3:22.71,-0.13,3:26.9,31.21,3:22.71,-0.13,13:46.5,195,195,1:50.4,12:33.01,-0.67,13:46.5,2:04.57,12:58.75,-0.38,C+105,126,126,36.49,25:05.84,,31:25,2:28.76,31:44.03,0.13,2:11.3,45,45,25.83,2:18.15,0.27,2:11.3,37.92,2:55.74,1.17,155,141,141,16.06,155.2,-0.01,155.0,16.06,155.2,-0.01,C+56,204,204,46.45,14:52.56,,16:56,1:11.71,16:43.43,-0.18,3:41.7,148,148,1:06.6,3:21.34,-0.31,3:41.7,1:28.13,3:52.03,0.12
Jessica Goeser,1049,3:44.3,249,249,31.21,3:22.71,-0.69,3:44.3,31.21,3:22.71,-0.69,9:55.5,25,25,1:50.4,12:33.01,1.43,9:55.5,2:04.57,12:58.75,1.47,C+124,209,209,36.49,25:05.84,,33:00,2:28.76,31:44.03,-0.51,C+40,285,285,25.83,2:18.15,,3:40,37.92,2:55.74,-1.17,166,69,69,16.06,155.2,0.67,166.0,16.06,155.2,0.67,C+20,108,108,46.45,14:52.56,,16:20,1:11.71,16:43.43,0.33,2:58.6,104,104,1:06.6,3:21.34,0.34,2:58.6,1:28.13,3:52.03,0.61
Ashley Werner,1057,2:59.7,75,75,31.21,3:22.71,0.74,2:59.7,31.21,3:22.71,0.74,13:32.0,183,183,1:50.4,12:33.01,-0.53,13:32,2:04.57,12:58.75,-0.27,C+120,188,188,36.49,25:05.84,,32:40,2:28.76,31:44.03,-0.38,C+12,242,242,25.83,2:18.15,,3:12,37.92,2:55.74,-0.43,170,51,51,16.06,155.2,0.92,170.0,16.06,155.2,0.92,C+103,250,250,46.45,14:52.56,,17:43,1:11.71,16:43.43,-0.83,2:32.7,68,68,1:06.6,3:21.34,0.73,2:32.7,1:28.13,3:52.03,0.9
Christie Jenkins,1058,3:47.6,259,259,31.21,3:22.71,-0.8,3:47.6,31.21,3:22.71,-0.8,10:47.6,46,46,1:50.4,12:33.01,0.95,10:47.6,2:04.57,12:58.75,1.05,C+111,145,145,36.49,25:05.84,,31:55,2:28.76,31:44.03,-0.07,2:16.1,51,51,25.83,2:18.15,0.08,2:16.1,37.92,2:55.74,1.05,151,178,178,16.06,155.2,-0.26,151.0,16.06,155.2,-0.26,C+107,261,261,46.45,14:52.56,,17:47,1:11.71,16:43.43,-0.89,3:17.1,118,118,1:06.6,3:21.34,0.06,3:17.1,1:28.13,3:52.03,0.4
Oddrun Eik Gylfadottir,1060,3:36.5,230,230,31.21,3:22.71,-0.44,3:36.5,31.21,3:22.71,-0.44,12:13.8,127,127,1:50.4,12:33.01,0.17,12:13.8,2:04.57,12:58.75,0.36,C+66,52,52,36.49,25:05.84,,29:18,2:28.76,31:44.03,0.98,C+8,193,193,25.83,2:18.15,,3:08,37.92,2:55.74,-0.32,147,191,191,16.06,155.2,-0.51,147.0,16.06,155.2,-0.51,C+4,62,62,46.45,14:52.56,,16:04,1:11.71,16:43.43,0.55,4:31.7,205,205,1:06.6,3:21.34,-1.06,4:31.7,1:28.13,3:52.03,-0.45
Heather Welsh,1066,3:18.9,153,153,31.21,3:22.71,0.12,3:18.9,31.21,3:22.71,0.12,11:39.7,87,87,1:50.4,12:33.01,0.48,11:39.7,2:04.57,12:58.75,0.63,C+122,198,198,36.49,25:05.84,,32:50,2:28.76,31:44.03,-0.44,C+20,271,271,25.83,2:18.15,,3:20,37.92,2:55.74,-0.64,155,141,141,16.06,155.2,-0.01,155.0,16.06,155.2,-0.01,C+37,153,153,46.45,14:52.56,,16:37,1:11.71,16:43.43,0.09,2:25.4,63,63,1:06.6,3:21.34,0.84,2:25.4,1:28.13,3:52.03,0.98
M'Kelle Tomberlin,1074,3:23.5,174,174,31.21,3:22.71,-0.03,3:23.5,31.21,3:22.71,-0.03,12:43.9,153,153,1:50.4,12:33.01,-0.1,12:43.9,2:04.57,12:58.75,0.12,C+132,243,243,36.49,25:05.84,,33:40,2:28.76,31:44.03,-0.78,C+10,216,216,25.83,2:18.15,,3:10,37.92,2:55.74,-0.38,175,31,31,16.06,155.2,1.23,175.0,16.06,155.2,1.23,C+51,178,178,46.45,14:52.56,,16:51,1:11.71,16:43.43,-0.11,2:39.1,79,79,1:06.6,3:21.34,0.63,2:39.1,1:28.13,3:52.03,0.83
Anna Rode,1077,2:49.9,37,37,31.21,3:22.71,1.05,2:49.9,31.21,3:22.71,1.05,11:54.8,103,103,1:50.4,12:33.01,0.35,11:54.8,2:04.57,12:58.75,0.51,C+129,231,231,36.49,25:05.84,,33:25,2:28.76,31:44.03,-0.68,C+20,271,271,25.83,2:18.15,,3:20,37.92,2:55.74,-0.64,171,48,48,16.06,155.2,0.98,171.0,16.06,155.2,0.98,C+36,151,151,46.45,14:52.56,,16:36,1:11.71,16:43.43,0.1,5:24.0,236,236,1:06.6,3:21.34,-1.84,5:24,1:28.13,3:52.03,-1.04
Lacy Baumgart,1085,2:56.0,60,60,31.21,3:22.71,0.86,2:56,31.21,3:22.71,0.86,12:01.8,115,115,1:50.4,12:33.01,0.28,12:01.8,2:04.57,12:58.75,0.46,C+77,62,62,36.49,25:05.84,,29:51,2:28.76,31:44.03,0.76,C+70,296,296,25.83,2:18.15,,4:10,37.92,2:55.74,-1.96,130,280,280,16.06,155.2,-1.57,130.0,16.06,155.2,-1.57,C+9,73,73,46.45,14:52.56,,16:09,1:11.71,16:43.43,0.48,4:23.7,199,199,1:06.6,3:21.34,-0.94,4:23.7,1:28.13,3:52.03,-0.36
Amanda Allen,1088,2:58.2,67,67,31.21,3:22.71,0.79,2:58.2,31.21,3:22.71,0.79,10:59.8,54,54,1:50.4,12:33.01,0.84,10:59.8,2:04.57,12:58.75,0.95,C+55,38,38,36.49,25:05.84,,28:45,2:28.76,31:44.03,1.2,C+1,115,115,25.83,2:18.15,,3:01,37.92,2:55.74,-0.14,137,256,256,16.06,155.2,-1.13,137.0,16.06,155.2,-1.13,C+137,270,270,46.45,14:52.56,,18:17,1:11.71,16:43.43,-1.3,C+10,288,288,1:06.6,3:21.34,,6:10,1:28.13,3:52.03,-1.57
Marie Laurence Leclair,1089,3:16.1,141,141,31.21,3:22.71,0.21,3:16.1,31.21,3:22.71,0.21,12:49.4,157,157,1:50.4,12:33.01,-0.15,12:49.4,2:04.57,12:58.75,0.08,C+60,43,43,36.49,25:05.84,,29:00,2:28.76,31:44.03,1.1,C+8,193,193,25.83,2:18.15,,3:08,37.92,2:55.74,-0.32,140,242,242,16.06,155.2,-0.95,140.0,16.06,155.2,-0.95,C+51,178,178,46.45,14:52.56,,16:51,1:11.71,16:43.43,-0.11,3:29.1,135,135,1:06.6,3:21.34,-0.12,3:29.1,1:28.13,3:52.03,0.26
Shanna Dawley,1097,3:09.5,116,116,31.21,3:22.71,0.42,3:09.5,31.21,3:22.71,0.42,15:55.6,272,272,1:50.4,12:33.01,-1.84,15:55.6,2:04.57,12:58.75,-1.42,C+108,136,136,36.49,25:05.84,,31:40,2:28.76,31:44.03,0.03,C+9,208,208,25.83,2:18.15,,3:09,37.92,2:55.74,-0.35,160,110,110,16.06,155.2,0.3,160.0,16.06,155.2,0.3,C+11,85,85,46.45,14:52.56,,16:11,1:11.71,16:43.43,0.45,3:54.5,170,170,1:06.6,3:21.34,-0.5,3:54.5,1:28.13,3:52.03,-0.03
Samantha Tolbert,1104,2:58.2,67,67,31.21,3:22.71,0.79,2:58.2,31.21,3:22.71,0.79,C+5,304,304,1:50.4,12:33.01,,16:05,2:04.57,12:58.75,-1.5,C+110,143,143,36.49,25:05.84,,31:50,2:28.76,31:44.03,-0.04,C+1,115,115,25.83,2:18.15,,3:01,37.92,2:55.74,-0.14,162,92,92,16.06,155.2,0.42,162.0,16.06,155.2,0.42,C+30,140,140,46.45,14:52.56,,16:30,1:11.71,16:43.43,0.19,5:48.8,243,243,1:06.6,3:21.34,-2.21,5:48.8,1:28.13,3:52.03,-1.33
Leann Lapp,1104,3:46.8,257,257,31.21,3:22.71,-0.77,3:46.8,31.21,3:22.71,-0.77,14:55.0,247,247,1:50.4,12:33.01,-1.29,14:55,2:04.57,12:58.75,-0.93,C+80,69,69,36.49,25:05.84,,30:00,2:28.76,31:44.03,0.7,C+6,167,167,25.83,2:18.15,,3:06,37.92,2:55.74,-0.27,160,110,110,16.06,155.2,0.3,160.0,16.06,155.2,0.3,C+18,99,99,46.45,14:52.56,,16:18,1:11.71,16:43.43,0.35,3:43.4,155,155,1:06.6,3:21.34,-0.33,3:43.4,1:28.13,3:52.03,0.1
Ashley Higgins,1106,3:09.9,117,117,31.21,3:22.71,0.41,3:09.9,31.21,3:22.71,0.41,9:46.4,23,23,1:50.4,12:33.01,1.51,9:46.4,2:04.57,12:58.75,1.54,C+88,86,86,36.49,25:05.84,,30:24,2:28.76,31:44.03,0.54,C+6,167,167,25.83,2:18.15,,3:06,37.92,2:55.74,-0.27,156,133,133,16.06,155.2,0.05,156.0,16.06,155.2,0.05,C+205,296,296,46.45,14:52.56,,19:25,1:11.71,16:43.43,-2.25,C+9,284,284,1:06.6,3:21.34,,6:09,1:28.13,3:52.03,-1.55
Marie-Emilie Perreault,1110,3:35.8,224,224,31.21,3:22.71,-0.42,3:35.8,31.21,3:22.71,-0.42,13:46.6,196,196,1:50.4,12:33.01,-0.67,13:46.6,2:04.57,12:58.75,-0.38,C+73,56,56,36.49,25:05.84,,29:39,2:28.76,31:44.03,0.84,C+4,146,146,25.83,2:18.15,,3:04,37.92,2:55.74,-0.22,147,191,191,16.06,155.2,-0.51,147.0,16.06,155.2,-0.51,C+50,171,171,46.45,14:52.56,,16:50,1:11.71,16:43.43,-0.09,3:21.4,126,126,1:06.6,3:21.34,-0.0,3:21.4,1:28.13,3:52.03,0.35
Gabrielle Andrews,1111,2:49.9,37,37,31.21,3:22.71,1.05,2:49.9,31.21,3:22.71,1.05,10:33.7,40,40,1:50.4,12:33.01,1.08,10:33.7,2:04.57,12:58.75,1.16,C+117,174,174,36.49,25:05.84,,32:25,2:28.76,31:44.03,-0.28,C+7,180,180,25.83,2:18.15,,3:07,37.92,2:55.74,-0.3,,299,299,,,,,,,,C+57,208,208,46.45,14:52.56,,16:57,1:11.71,16:43.43,-0.19,3:55.6,173,173,1:06.6,3:21.34,-0.51,3:55.6,1:28.13,3:52.03,-0.04
Randi Stevens,1111,2:49.9,37,37,31.21,3:22.71,1.05,2:49.9,31.21,3:22.71,1.05,10:34.0,41,41,1:50.4,12:33.01,1.08,10:34,2:04.57,12:58.75,1.16,C+98,106,106,36.49,25:05.84,,30:54,2:28.76,31:44.03,0.34,C+10,216,216,25.83,2:18.15,,3:10,37.92,2:55.74,-0.38,140,242,242,16.06,155.2,-0.95,140.0,16.06,155.2,-0.95,C+185,291,291,46.45,14:52.56,,19:05,1:11.71,16:43.43,-1.97,3:59.0,178,178,1:06.6,3:21.34,-0.57,3:59,1:28.13,3:52.03,-0.08
Carolyne Prevost,1112,2:43.8,19,19,31.21,3:22.71,1.25,2:43.8,31.21,3:22.71,1.25,C+2,286,286,1:50.4,12:33.01,,16:02,2:04.57,12:58.75,-1.47,C+82,76,76,36.49,25:05.84,,30:06,2:28.76,31:44.03,0.66,C+2,127,127,25.83,2:18.15,,3:02,37.92,2:55.74,-0.17,,299,299,,,,,,,,C+59,213,213,46.45,14:52.56,,16:59,1:11.71,16:43.43,-0.22,2:49.9,92,92,1:06.6,3:21.34,0.47,2:49.9,1:28.13,3:52.03,0.7
Laura Tobias,1115,3:24.4,176,176,31.21,3:22.71,-0.05,3:24.4,31.21,3:22.71,-0.05,11:48.7,100,100,1:50.4,12:33.01,0.4,11:48.7,2:04.57,12:58.75,0.56,C+125,218,218,36.49,25:05.84,,33:05,2:28.76,31:44.03,-0.54,1:50.7,18,18,25.83,2:18.15,1.06,1:50.7,37.92,2:55.74,1.72,147,191,191,16.06,155.2,-0.51,147.0,16.06,155.2,-0.51,C+33,145,145,46.45,14:52.56,,16:33,1:11.71,16:43.43,0.15,C+6,267,267,1:06.6,3:21.34,,6:06,1:28.13,3:52.03,-1.52
Emma McQuaid,1116,3:11.1,123,123,31.21,3:22.71,0.37,3:11.1,31.21,3:22.71,0.37,12:18.6,131,131,1:50.4,12:33.01,0.13,12:18.6,2:04.57,12:58.75,0.32,C+112,152,152,36.49,25:05.84,,32:00,2:28.76,31:44.03,-0.11,C+9,208,208,25.83,2:18.15,,3:09,37.92,2:55.74,-0.35,147,191,191,16.06,155.2,-0.51,147.0,16.06,155.2,-0.51,C+28,135,135,46.45,14:52.56,,16:28,1:11.71,16:43.43,0.22,3:56.7,176,176,1:06.6,3:21.34,-0.53,3:56.7,1:28.13,3:52.03,-0.05
Angelica Bengtsson,1119,3:07.9,111,111,31.21,3:22.71,0.47,3:07.9,31.21,3:22.71,0.47,12:47.7,156,156,1:50.4,12:33.01,-0.13,12:47.7,2:04.57,12:58.75,0.09,C+117,174,174,36.49,25:05.84,,32:25,2:28.76,31:44.03,-0.28,C+1,115,115,25.83,2:18.15,,3:01,37.92,2:55.74,-0.14,162,92,92,16.06,155.2,0.42,162.0,16.06,155.2,0.42,C+53,187,187,46.45,14:52.56,,16:53,1:11.71,16:43.43,-0.13,C+9,284,284,1:06.6,3:21.34,,6:09,1:28.13,3:52.03,-1.55
Brittani Blackburn,1120,3:31.9,207,207,31.21,3:22.71,-0.29,3:31.9,31.21,3:22.71,-0.29,14:42.5,234,234,1:50.4,12:33.01,-1.17,14:42.5,2:04.57,12:58.75,-0.83,C+97,101,101,36.49,25:05.84,,30:51,2:28.76,31:44.03,0.36,C+1,115,115,25.83,2:18.15,,3:01,37.92,2:55.74,-0.14,156,133,133,16.06,155.2,0.05,156.0,16.06,155.2,0.05,C+53,187,187,46.45,14:52.56,,16:53,1:11.71,16:43.43,-0.13,3:34.8,143,143,1:06.6,3:21.34,-0.2,3:34.8,1:28.13,3:52.03,0.2
April Hering,1123,3:55.6,272,272,31.21,3:22.71,-1.05,3:55.6,31.21,3:22.71,-1.05,11:45.5,95,95,1:50.4,12:33.01,0.43,11:45.5,2:04.57,12:58.75,0.59,C+90,89,89,36.49,25:05.84,,30:30,2:28.76,31:44.03,0.5,2:25.0,65,65,25.83,2:18.15,-0.27,2:25,37.92,2:55.74,0.81,156,133,133,16.06,155.2,0.05,156.0,16.06,155.2,0.05,C+102,248,248,46.45,14:52.56,,17:42,1:11.71,16:43.43,-0.82,4:54.9,221,221,1:06.6,3:21.34,-1.4,4:54.9,1:28.13,3:52.03,-0.71
Ashley Bakken,1123,3:35.6,223,223,31.21,3:22.71,-0.41,3:35.6,31.21,3:22.71,-0.41,C+1,276,276,1:50.4,12:33.01,,16:01,2:04.57,12:58.75,-1.46,C+108,136,136,36.49,25:05.84,,31:40,2:28.76,31:44.03,0.03,2:32.9,77,77,25.83,2:18.15,-0.57,2:32.9,37.92,2:55.74,0.6,155,141,141,16.06,155.2,-0.01,155.0,16.06,155.2,-0.01,C+26,129,129,46.45,14:52.56,,16:26,1:11.71,16:43.43,0.24,3:34.6,141,141,1:06.6,3:21.34,-0.2,3:34.6,1:28.13,3:52.03,0.2
Madi Mansberger,1125,3:29.4,198,198,31.21,3:22.71,-0.21,3:29.4,31.21,3:22.71,-0.21,11:00.0,55,55,1:50.4,12:33.01,0.84,11:00,2:04.57,12:58.75,0.95,C+124,209,209,36.49,25:05.84,,33:00,2:28.76,31:44.03,-0.51,C+8,193,193,25.83,2:18.15,,3:08,37.92,2:55.74,-0.32,156,133,133,16.06,155.2,0.05,156.0,16.06,155.2,0.05,C+78,232,232,46.45,14:52.56,,17:18,1:11.71,16:43.43,-0.48,3:00.1,105,105,1:06.6,3:21.34,0.32,3:00.1,1:28.13,3:52.03,0.59
Claire treanor,1126,3:24.9,180,180,31.21,3:22.71,-0.07,3:24.9,31.21,3:22.71,-0.07,12:05.4,119,119,1:50.4,12:33.01,0.25,12:05.4,2:04.57,12:58.75,0.43,C+113,157,157,36.49,25:05.84,,32:05,2:28.76,31:44.03,-0.14,C+8,193,193,25.83,2:18.15,,3:08,37.92,2:55.74,-0.32,165,74,74,16.06,155.2,0.61,165.0,16.06,155.2,0.61,C+57,208,208,46.45,14:52.56,,16:57,1:11.71,16:43.43,-0.19,4:19.6,195,195,1:06.6,3:21.34,-0.87,4:19.6,1:28.13,3:52.03,-0.31
Jaimie Byerly,1132,3:38.5,235,235,31.21,3:22.71,-0.51,3:38.5,31.21,3:22.71,-0.51,11:41.7,91,91,1:50.4,12:33.01,0.46,11:41.7,2:04.57,12:58.75,0.62,C+83,78,78,36.49,25:05.84,,30:09,2:28.76,31:44.03,0.64,C+3,140,140,25.83,2:18.15,,3:03,37.92,2:55.74,-0.19,160,110,110,16.06,155.2,0.3,160.0,16.06,155.2,0.3,C+97,240,240,46.45,14:52.56,,17:37,1:11.71,16:43.43,-0.75,5:34.8,238,238,1:06.6,3:21.34,-2.0,5:34.8,1:28.13,3:52.03,-1.17
Hope Cicero,1133,3:03.9,96,96,31.21,3:22.71,0.6,3:03.9,31.21,3:22.71,0.6,13:02.1,166,166,1:50.4,12:33.01,-0.26,13:02.1,2:04.57,12:58.75,-0.03,C+96,99,99,36.49,25:05.84,,30:48,2:28.76,31:44.03,0.38,C+6,167,167,25.83,2:18.15,,3:06,37.92,2:55.74,-0.27,140,242,242,16.06,155.2,-0.95,140.0,16.06,155.2,-0.95,C+23,116,116,46.45,14:52.56,,16:23,1:11.71,16:43.43,0.28,C+1,247,247,1:06.6,3:21.34,,6:01,1:28.13,3:52.03,-1.46
Lauren Conner,1147,2:59.5,73,73,31.21,3:22.71,0.74,2:59.5,31.21,3:22.71,0.74,12:18.4,130,130,1:50.4,12:33.01,0.13,12:18.4,2:04.57,12:58.75,0.32,C+87,84,84,36.49,25:05.84,,30:21,2:28.76,31:44.03,0.56,C+11,230,230,25.83,2:18.15,,3:11,37.92,2:55.74,-0.4,155,141,141,16.06,155.2,-0.01,155.0,16.06,155.2,-0.01,C+68,222,222,46.45,14:52.56,,17:08,1:11.71,16:43.43,-0.34,C+6,267,267,1:06.6,3:21.34,,6:06,1:28.13,3:52.03,-1.52
